== задание z3-stats-1 ==
строка: run research/z3_ladder/screen3.py --stats
начало: 2026-08-26T09:00:00Z
запускаю: .venv/bin/python research/z3_ladder/screen3.py --stats
распределение величин: суток 1, символов 731
сутки       величина             минут     >0        p50        p90        p99      p99.9
2026-08-24  cancel_b/vis         3 781   1.00    0.03531    0.09442     0.2321     0.4404
2026-08-24  cancel_a/vis         3 781   1.00    0.03578     0.0941     0.2254     0.4568
2026-08-24  dead_b/vis           3 781   0.00          0          0          0          0
2026-08-24  dead_a/vis           3 781   0.00          0          0          0          0
2026-08-24  eat_b/vis            3 781   0.81  7.497e-06  0.0001117  0.0008248   0.002171
2026-08-24  eat_a/vis            3 781   0.82  8.438e-06  0.0001346   0.000731   0.001903
2026-08-24  add_b/vis            3 781   1.00    0.03994    0.09837      0.231     0.4405
2026-08-24  refill_b/eat         3 058   0.57     0.1318       9.95      160.2      701.8
2026-08-24  refill_a/eat         3 106   0.59     0.1413      10.94      156.8      598.3
2026-08-24  vis_b                3 781   1.00  1.599e+07  2.057e+07  2.335e+07  2.569e+07
2026-08-24  vis_a                3 781   1.00  1.592e+07  2.116e+07  2.325e+07   2.48e+07
2026-08-24  eat_b                3 781   0.81      111.2       1599  1.132e+04  3.582e+04
2026-08-24  eat_a                3 781   0.82      129.6       1956  1.079e+04   3.08e+04
2026-08-24  cancel_b             3 781   1.00   5.21e+05  1.444e+06  3.376e+06  7.809e+06
2026-08-24  cancel_a             3 781   1.00  5.417e+05  1.445e+06  3.628e+06  7.516e+06
2026-08-24  add_b                3 781   1.00  6.043e+05  1.452e+06  3.383e+06   7.41e+06
2026-08-24  add_a                3 781   1.00  6.028e+05   1.48e+06  3.671e+06  7.883e+06
2026-08-24  dead_b               3 781   0.00          0          0          0          0
2026-08-24  dead_a               3 781   0.00          0          0          0          0
2026-08-24  refill_b             3 781   0.52        7.5       1971  1.019e+04  3.431e+04
2026-08-24  refill_a             3 781   0.53       18.9       2095       9004  2.648e+04
2026-08-24  sweep                3 777   0.95      12.52      74.29      327.9      685.6
2026-08-24  pairs                3 781   1.00         54         60         61         61
ВНИМАНИЕ: `dead` равен нулю во всех минутах — уровень, ушедший в ноль, площадка, видимо, просто убирает из лесенки. Тогда это структурный ноль меры, а не рынка, и условия по нему из пространства надо снимать ДО прогона.
конец: 2026-08-26T09:00:01Z, код 0
